precision,recall,threshold
0.1282051282051282,1.0,3.3824132634258374e-05
0.12903225806451613,1.0,3.580726692368064e-05
0.12987012987012986,1.0,5.891540989704125e-05
0.13071895424836602,1.0,6.486682296220096e-05
0.13157894736842105,1.0,6.748171932029829e-05
0.13245033112582782,1.0,7.733590627526179e-05
0.13333333333333333,1.0,0.00010743389844321924
0.1342281879194631,1.0,0.0001493183955973129
0.13513513513513514,1.0,0.00015572382542634194
0.1360544217687075,1.0,0.0002210661112097063
0.136986301369863,1.0,0.00022346290222655205
0.13793103448275862,1.0,0.00022575684718322084
0.1388888888888889,1.0,0.00036588662426262196
0.13986013986013987,1.0,0.00036658496314460865
0.14084507042253522,1.0,0.00044157731888526657
0.14184397163120568,1.0,0.00046231913757974197
0.14285714285714285,1.0,0.0005404548661380735
0.14388489208633093,1.0,0.0006826613762535743
0.14492753623188406,1.0,0.0007250590315632074
0.145985401459854,1.0,0.000947222543219272
0.14705882352941177,1.0,0.0010986589535514637
0.14814814814814814,1.0,0.001200906927211393
0.14925373134328357,1.0,0.0014511029081318275
0.15037593984962405,1.0,0.0015202377192875063
0.15151515151515152,1.0,0.0016543463802932332
0.15267175572519084,1.0,0.0016733941694756452
0.15384615384615385,1.0,0.0016912048476716661
0.15503875968992248,1.0,0.001700159439540631
0.15625,1.0,0.0017153278142261264
0.15748031496062992,1.0,0.001757289947063327
0.15873015873015872,1.0,0.0018745707939202571
0.16,1.0,0.001878306832555604
0.16129032258064516,1.0,0.0018938728765180385
0.16260162601626016,1.0,0.0019016307432397949
0.16393442622950818,1.0,0.00226496353836346
0.1652892561983471,1.0,0.00251452938387135
0.16666666666666666,1.0,0.0027783206978889956
0.16806722689075632,1.0,0.002818093616200762
0.16101694915254236,0.95,0.002825652924297723
0.1623931623931624,0.95,0.0029590746862670847
0.16379310344827586,0.95,0.0030112854744532543
0.16521739130434782,0.95,0.0030458631991610446
0.16666666666666666,0.95,0.0030964641315575996
0.168141592920354,0.95,0.0031038365594693276
0.16964285714285715,0.95,0.0031433632573392672
0.17117117117117117,0.95,0.0032294582319973664
0.17272727272727273,0.95,0.0032881249127631926
0.1651376146788991,0.9,0.003501101101946266
0.16666666666666666,0.9,0.0035222001108259657
0.16822429906542055,0.9,0.003766544098297472
0.16981132075471697,0.9,0.0037938876562769153
0.17142857142857143,0.9,0.004047121682460362
0.17307692307692307,0.9,0.004244704545429216
0.17475728155339806,0.9,0.004453268315087064
0.17647058823529413,0.9,0.004458830030124599
0.1782178217821782,0.9,0.0045710078215926465
0.17,0.85,0.005097644756532101
0.1717171717171717,0.85,0.005132612024699955
0.17346938775510204,0.85,0.005194837945477877
0.17525773195876287,0.85,0.005308332805943465
0.17708333333333334,0.85,0.005562247905331185
0.17894736842105263,0.85,0.005656100738589584
0.18085106382978725,0.85,0.0059394411262147975
0.1827956989247312,0.85,0.006100222580122501
0.18478260869565216,0.85,0.006444791846465684
0.18681318681318682,0.85,0.006773624010904878
0.18888888888888888,0.85,0.007014825369428564
0.19101123595505617,0.85,0.007157101687178615
0.19318181818181818,0.85,0.007293282071598728
0.19540229885057472,0.85,0.008278088737017778
0.19767441860465115,0.85,0.008304171841608636
0.2,0.85,0.00831825663420912
0.19047619047619047,0.8,0.008322779662508209
0.1927710843373494,0.8,0.00875491251531081
0.1951219512195122,0.8,0.008817481687219696
0.19753086419753085,0.8,0.008841086425108254
0.2,0.8,0.009126022451891392
0.20253164556962025,0.8,0.009437275851599465
0.20512820512820512,0.8,0.00973378563129904
0.2077922077922078,0.8,0.00973437021243315
0.21052631578947367,0.8,0.010233592021483526
0.21333333333333335,0.8,0.010350067005494835
0.20270270270270271,0.75,0.010745504019391047
0.2054794520547945,0.75,0.010959171561557294
0.20833333333333334,0.75,0.011019452334700466
0.2112676056338028,0.75,0.011203610587893483
0.21428571428571427,0.75,0.0112428082754003
0.21739130434782608,0.75,0.011967451793008052
0.22058823529411764,0.75,0.012195077243363328
0.22388059701492538,0.75,0.012238726990581737
0.22727272727272727,0.75,0.012551814305702902
0.23076923076923078,0.75,0.01275578529260459
0.234375,0.75,0.014778891806901838
0.23809523809523808,0.75,0.015247384619760211
