,0
2014-04-09,2.0008
2014-04-16,4.002400000000001
2014-04-23,2.4004
2014-04-30,4.2021999999999995
2014-05-07,0.4006
2014-05-14,4.2202
2014-05-21,2.0242
2014-05-28,2.0422000000000002
2014-06-04,2.0403999999999995
2014-06-11,2.0224
2014-06-18,4.0024
2014-06-25,4.2004
2014-07-02,0.4023999999999999
2014-07-09,4.0006
2014-07-16,4.42
2014-07-23,8.2
2014-07-30,8.0002
2014-08-06,4.0222
2014-08-13,4.0222
2014-08-20,6.022
2014-08-27,4.42
2014-09-03,4.0222
2014-09-10,0.20079999999999995
2014-09-17,2.2204
2014-09-24,4.0006
2014-10-01,2.4004
2014-10-08,4.24
2014-10-15,4.0204
2014-10-22,2.2402
2014-10-29,6.000400000000001
2014-11-05,4.0006
2014-11-12,0.020800000000000003
2014-11-19,2.0007999999999995
2014-11-26,0.001
2014-12-03,4.0204
2014-12-10,2.0025999999999997
2014-12-17,2.0223999999999998
2014-12-24,0.022600000000000002
2014-12-31,0.022600000000000002
2015-01-07,4.0204
2015-01-14,4.2004
2015-01-21,6.2002
2015-01-28,0.6003999999999999
2015-02-04,0.20259999999999995
2015-02-11,0.0262
2015-02-18,0.0262
2015-02-25,0.0028000000000000004
2015-03-04,2.2005999999999997
2015-03-11,2.0224
2015-03-18,2.0422
2015-03-25,0.040600000000000004
2015-04-01,0.20259999999999997
2015-04-08,6.2002
2015-04-15,0.40059999999999996
2015-04-22,0.4024
2015-04-29,4.2021999999999995
2015-05-06,4.2004
2015-05-13,4.0006
2015-05-20,4.0204
2015-05-27,6.0022
2015-06-03,0.001
2015-06-10,2.0007999999999995
2015-06-17,0.20079999999999992
2015-06-24,0.040600000000000004
2015-07-01,0.20079999999999992
2015-07-08,0.2206
2015-07-15,0.40059999999999996
2015-07-22,4.0006
2015-07-29,6.0004
2015-08-05,0.040600000000000004
2015-08-12,0.040600000000000004
2015-08-19,2.0026
2015-08-26,4.0006
2015-09-02,0.20079999999999995
2015-09-09,4.0006
2015-09-16,2.0008
2015-09-23,0.001
2015-09-30,0.001
2015-10-07,0.001
2015-10-14,2.0008
2015-10-21,0.001
2015-10-28,0.020800000000000003
2015-11-04,0.022600000000000002
2015-11-11,2.2024
2015-11-18,2.0026
2015-11-25,0.20259999999999995
2015-12-02,2.0026
2015-12-09,0.0028000000000000004
2015-12-16,0.20079999999999995
2015-12-23,2.0206
2015-12-30,0.020800000000000003
2016-01-06,0.001
2016-01-13,0.001
2016-01-20,2.0206
2016-01-27,2.0008
2016-02-03,2.0008
2016-02-10,2.0007999999999995
2016-02-17,2.2005999999999997
2016-02-24,0.2008
2016-03-02,2.0008
2016-03-09,0.20079999999999992
2016-03-16,2.2005999999999997
2016-03-23,4.0006
2016-03-30,2.0008
2016-04-06,0.0028000000000000004
2016-04-13,0.0028000000000000004
2016-04-20,0.20079999999999995
2016-04-27,0.0028000000000000004
2016-05-04,0.001
2016-05-11,2.2005999999999997
2016-05-18,4.0222
2016-05-25,0.2044
2016-06-01,2.0043999999999995
2016-06-08,0.4222
2016-06-15,4.402
2016-06-22,8.0002
2016-06-29,2.4021999999999997
2016-07-06,2.0043999999999995
2016-07-13,4.0024
2016-07-20,6.000400000000001
2016-07-27,2.0008
2016-08-03,2.0008
2016-08-10,0.0028
2016-08-17,0.0028
2016-08-24,0.4006
2016-08-31,0.001
2016-09-07,0.001
2016-09-14,2.0008
2016-09-21,0.020800000000000003
2016-09-28,6.0004
2016-10-05,2.0026
2016-10-12,2.2222
2016-10-19,2.4021999999999997
2016-10-26,4.022200000000001
2016-11-02,4.2004
2016-11-09,2.4004
2016-11-16,4.4002
2016-11-23,4.2022
2016-11-30,4.4002
2016-12-07,4.24
2016-12-14,0.4023999999999999
2016-12-21,2.2024
2016-12-28,4.4002
2017-01-04,4.24
2017-01-11,2.0404
2017-01-18,0.20259999999999997
2017-01-25,0.4023999999999999
2017-02-01,0.2224
2017-02-08,4.0204
2017-02-15,4.222
2017-02-22,4.42
2017-03-01,4.2004
2017-03-08,6.200200000000001
2017-03-15,2.0404
2017-03-22,0.0262
2017-03-29,4.0024
2017-04-05,2.0043999999999995
2017-04-12,0.6022
2017-04-19,4.4002
2017-04-26,8.002
2017-05-03,4.042000000000001
2017-05-10,2.0044
2017-05-17,6.0004
2017-05-24,6.0022
2017-05-31,4.0006
2017-06-07,4.2021999999999995
2017-06-14,6.2002
2017-06-21,2.0025999999999997
2017-06-28,0.001
2017-07-05,2.0007999999999995
2017-07-12,0.020800000000000003
2017-07-19,0.20079999999999992
2017-07-26,0.001
2017-08-02,2.0007999999999995
2017-08-09,2.0025999999999997
2017-08-16,4.0024
2017-08-23,2.2005999999999997
2017-08-30,4.0402000000000005
2017-09-06,2.242
2017-09-13,2.0205999999999995
2017-09-20,0.2224
2017-09-27,4.042000000000001
2017-10-04,2.2222
2017-10-11,0.24220000000000003
2017-10-18,0.022600000000000002
2017-10-25,4.0222
2017-11-01,2.2042
2017-11-08,2.0026
2017-11-15,2.2006
2017-11-22,4.0006
2017-11-29,6.0004
2017-12-06,4.0024
