date,prices,market_caps,total_volumes
2021-10-07,3733.8846321245433,0.0,6781394.5159283355
2021-10-08,3733.8846321245433,0.0,6781394.5159283355
2021-10-09,3717.252422086254,0.0,875071.6664757588
2021-10-10,3730.308970865106,0.0,3381691.438281279
2021-10-11,3563.3488841884277,0.0,1168423.1534959215
2021-10-12,3671.5212553399506,0.0,2000562.1356029876
2021-10-13,3636.6164418565563,0.0,1171644.1622723236
2021-10-14,3712.43009332221,0.0,1291517.5547923264
2021-10-15,3931.0581178698058,0.0,1808930.1691681482
2021-10-16,4048.4048028495367,0.0,998941.9836965081
2021-10-17,3999.7106438609467,0.0,1984889.2518116785
2021-10-18,3979.329335757798,0.0,2019753.1591848987
2021-10-19,3892.5082663201415,0.0,1053594.6315804026
2021-10-20,4007.8586411471993,0.0,2330712.815785219
2021-10-21,4302.941195429321,0.0,1999830.718477394
2021-10-22,4247.007520126403,0.0,4239866.234509831
2021-10-23,4141.810175043325,0.0,2182855.3345565354
2021-10-24,4338.272512947537,0.0,2617654.8680234673
2021-10-25,4238.209218253404,0.0,894048.02266945
2021-10-26,4378.160427781001,0.0,1159879.9469889104
2021-10-27,4321.594461447171,0.0,1861206.9100723667
2021-10-28,4119.008801710557,0.0,2017356.0140402408
2021-10-29,4374.777645956122,0.0,1538250.2564125836
2021-10-30,4594.72871971832,0.0,727880.1352025411
2021-10-31,4463.428337904398,0.0,763630.9400644525
2021-11-01,4465.261140142534,0.0,11204188.259672375
2021-11-02,4489.1230868556295,0.0,15174243.800263293
2021-11-03,4760.722903217743,0.0,1531998.74244213
2021-11-04,4795.931034682413,0.0,2161645.1128337374
2021-11-05,4721.558255878432,0.0,1313876.120797959
2021-11-06,4663.050292931662,0.0,134013.3324047695
2021-11-07,4689.48893950258,0.0,1090970.9488931985
2021-11-08,4807.61299747594,0.0,1611104.1669643403
2021-11-09,5003.970546341972,0.0,1714585.4532970218
2021-11-10,4962.308355990602,0.0,486419.186249088
2021-11-11,4818.964566090906,0.0,1812550.0286395184
2021-11-12,4922.629422706349,0.0,435447.0976917453
2021-11-13,4875.791300531742,0.0,1688169.1634621082
2021-11-14,4854.107654943257,0.0,576883.0964007463
2021-11-15,4792.6117781837875,0.0,428407.9943306207
2021-11-16,4782.793399530504,0.0,3044459.3310915977
2021-11-17,4426.01602803084,0.0,4077823.505030642
2021-11-18,4473.230359910446,0.0,2635952.3305543824
2021-11-19,4165.108269236668,0.0,2717845.976361083
2021-11-20,4477.959026770053,0.0,11210077.76358016
2021-11-21,4609.847095553037,0.0,2423294.4390310706
2021-11-22,4482.252047257449,0.0,2366196.711004712
2021-11-23,4264.065539473827,0.0,3049440.566795353
2021-11-24,4508.714938980915,0.0,3461946.3961721207
2021-11-25,4432.032675105608,0.0,4832547.160377543
2021-11-26,4664.902049582664,0.0,1010681.8058948385
2021-11-27,4216.3328663900475,0.0,4176922.3754156986
2021-11-28,4245.598345305445,0.0,1034779.2829027467
2021-11-29,4463.813087315981,0.0,3867938.329412261
2021-11-30,4594.765639875212,0.0,1793944.9876326362
2021-12-01,4834.3022119597845,0.0,2797703.355495733
2021-12-02,4739.598039667471,0.0,7387807.865885576
2021-12-03,4679.938355319562,0.0,3068666.906748319
2021-12-04,4421.3604626331635,0.0,4134884.6017241133
2021-12-05,4277.468869340718,0.0,5370936.974194558
2021-12-06,4335.073411092492,0.0,2013102.3157912018
2021-12-07,4510.036069108512,0.0,3318871.723169717
2021-12-08,4491.539847536123,0.0,1382522.6307300243
2021-12-09,4611.703465301149,0.0,1545855.5907986127
2021-12-10,4328.270126266129,0.0,3220127.2938991142
2021-12-11,4091.596006072343,0.0,3486406.027734316
2021-12-12,4255.062969623935,0.0,2743885.5122380294
2021-12-13,4313.525380653944,0.0,846831.7887247263
2021-12-14,3943.168128209998,0.0,2733524.5889733755
2021-12-15,4027.821821158689,0.0,4101618.2026068447
2021-12-16,4195.12766190808,0.0,4786884.293383075
2021-12-17,4156.502046615031,0.0,5163734.002595838
2021-12-18,4074.148084748862,0.0,2768596.296994239
2021-12-19,4144.968436242326,0.0,2527637.683778481
2021-12-20,4117.566477070887,0.0,7802609.924330794
2021-12-21,4131.192099466839,0.0,3176525.59850978
2021-12-22,4224.771039638374,0.0,2018075.760768145
2021-12-23,4190.295653605652,0.0,497857.42138749646
2021-12-24,4309.278887075996,0.0,2709909.9601985523
2021-12-25,4225.011722061567,0.0,1021389.4096001569
2021-12-26,4302.781582730959,0.0,170679.4387724941
2021-12-27,4266.911075614723,0.0,1366584.9626870397
2021-12-28,4223.666360272712,0.0,356699.8581705058
2021-12-29,3987.257430764589,0.0,1094056.2324916562
2021-12-30,3820.7410140988527,0.0,1290341.504554783
2021-12-31,3904.4030640342717,0.0,2382536.465375595
2022-01-01,3874.8932377501096,0.0,1410327.9549766588
2022-01-02,3966.520509963648,0.0,7214575.146650178
2022-01-03,3994.3529009250806,0.0,263100.46592962614
2022-01-04,3960.5445293106277,0.0,1440136.2174507244
2022-01-05,3982.660963849443,0.0,1361705.3206194064
2022-01-06,3761.2456854188868,0.0,1608720.1969191355
2022-01-07,3604.6874063351243,0.0,1453884.7896308857
2022-01-08,3370.1983655230965,0.0,18212566.027392738
2022-01-09,3258.465659376932,0.0,3789508.797175284
2022-01-10,3325.1277041312524,0.0,640092.8865084783
2022-01-11,3258.798795487588,0.0,2970335.433115851
2022-01-12,3409.9629680561425,0.0,700472.7580781818
2022-01-13,3575.027149728763,0.0,1215611.0270953039
2022-01-14,3428.963994411764,0.0,660277.5939846918
2022-01-15,3445.9094141569694,0.0,1128051.3760853696
2022-01-16,3523.1245824231187,0.0,301679.56896254973
2022-01-17,3505.603956671582,0.0,535020.4565190481
2022-01-18,3391.37008525996,0.0,3733085.692242801
2022-01-19,3341.732258979428,0.0,875198.6718460041
2022-01-20,3280.0238073471646,0.0,2697414.32720958
2022-01-21,3190.7391709141034,0.0,2962523.0110323234
2022-01-22,2702.356359438968,0.0,4552440.726847637
2022-01-23,2543.5911880207245,0.0,14721004.229803013
2022-01-24,2676.0753828225807,0.0,2149945.5374647705
2022-01-25,2573.0077445111338,0.0,5388309.621345216
2022-01-26,2587.871004478771,0.0,2061978.9890557153
2022-01-27,2609.907451761202,0.0,3168354.3720862092
2022-01-28,2521.4444716172984,0.0,2543976.4464402655
2022-01-29,2686.494380415639,0.0,2062170.6784886941
2022-01-30,2734.6394612945073,0.0,7762973.490170824
2022-01-31,2754.557212760324,0.0,2044625.1267922404
2022-02-01,2838.6077363174713,0.0,7334786.305467326
2022-02-02,2960.8577012745536,0.0,6791943.213339113
2022-02-03,2827.013628702152,0.0,1578374.9090502076
2022-02-04,2825.903285344539,0.0,1450446.2491876292
