date,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2019-02-28 00:00:00+00:00,161867774314.61993,752672518.0468209,3719737769.285171,17982723026.08906,30875635792.150066,206512984864.3986,92214831490.4199,7125089917.684851,2702232299.6275487,978855933.0420412,4109154912.578964,187372012.18155783,6355037.723919313,10329811789.769518
2019-03-31 00:00:00+00:00,284573187576.2819,1037192935.4514834,5728612758.469938,26483463830.816498,56301146494.91203,444628156949.9651,143502898044.26886,12806722700.749374,5074742463.226668,2697797934.5479493,5374281855.225756,276098591.99213004,4299930.117970484,50501169846.259735
2019-04-30 00:00:00+00:00,524698942466.92145,2599187813.5041494,8533069324.45439,43579605547.42237,90827810790.6055,669713877750.5098,232572645098.27222,44951153860.44058,7469502705.1656065,5337152106.754034,13156497087.708332,257072011.43842146,7485338.491890682,51207837292.12554
2019-05-31 00:00:00+00:00,785533932422.9233,2523958887.6495533,11099781465.963614,72796822356.66484,142757213475.6684,893036223364.1677,320383137014.0972,82067336625.54645,11484482195.73974,7018218809.257627,25646820757.960373,1059739452.397037,15178044.371383507,25255163311.78627
2019-06-30 00:00:00+00:00,852865756332.1298,2987823008.349414,12440006325.912096,71629646152.42542,154153245987.91208,1017470998590.6476,325695767295.2783,68633404073.31568,14211586448.318178,8865608142.187801,34757958725.29773,3819627978.423971,16436211.083551507,55573158253.58425
2019-07-31 00:00:00+00:00,919669715269.8531,2513851722.9947653,10491550138.942858,62284434243.15492,130195487321.48067,1264497223496.5906,323229472877.73364,61326421833.40718,8827772851.453773,6761230137.139824,29795317373.74064,5010479498.516641,22204860.748080805,148020355416.4686
2019-08-31 00:00:00+00:00,725045228109.5159,1593636126.9530067,4241554413.1481843,43061187251.950676,97795668625.92134,1318143143486.4155,247255137573.05484,52778953100.197495,6341668325.203442,3512962193.9043446,18100650988.767735,2357890316.5799875,254210192.27874583,164147569784.4227
2019-09-30 00:00:00+00:00,571079056365.7056,1812492648.5518162,6255853142.19214,46046222000.68709,83350660077.11679,732393780450.932,240991289387.55548,56247714317.38485,4864441648.340031,2995941403.911073,19505704199.260864,3791639154.671685,382302889.3245515,36782629737.97592
2019-10-31 00:00:00+00:00,692692616698.8505,2401272734.6335044,7042581270.237319,61870086464.21319,76486099522.32181,811130507820.7589,256461497032.1483,61231558641.549225,6048748652.685069,2436992500.206174,27765925636.317665,4041711275.6021056,13075946.90075573,6923849073.091994
2019-11-30 00:00:00+00:00,794768076623.2024,2512955920.7800975,6951106741.234182,54130438988.35416,81613972061.83928,887970133335.5458,272358020045.257,85178749222.07254,6249709317.713387,3017650222.413323,32315329166.96233,3983216913.8612523,23845360.185716722,6801041205.3012495
